"日期","应用名称","广告类型","DAU","DEU","渗透率","应用请求","应用填充","应用填充率","竞价请求","竞价响应","竞价响应率","竞价胜出率","请求","填充","填充率","广告Ready率","查询 isReady","查询Ready率","展示","展示 / DAU","展示 / DEU","展示率","点击","点击率","eCPM","eCPC","预估收入","ARPDAU(￠)","ARPDEU(￠)"
"2026-08-28 (五)","安卓_Loklok-russia","原生","1,097","322","29.35%","5,564","3,931","70.65%","-","11,288","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.02","0.08"
"2026-08-28 (五)","安卓_Loklok-russia","插屏","1,097","16","1.46%","713","624","87.52%","3,989","-","-","-","1,013","-","-","-","59","89.83%","48","0.04","3.00","-","-","-","$2.80","-","$0.13","0.01","0.70"
"2026-08-28 (五)","iOS_ios_octopus","原生","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_ios_octopus","激励视频","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_ios_octopus","开屏","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_HITV: Watch Asia videos","插屏","134","1","0.75%","-","-","-","-","-","-","-","-","-","-","-","1","100.00%","1","0.01","1.00","-","-","-","$1.00","-","$0.00","-","-"
"2026-08-28 (五)","iOS_HITV: Watch Asia videos","原生","134","1","0.75%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_HITV: Watch Asia videos","激励视频","134","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_HITV: Watch Asia videos","开屏","134","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_HiTV - didymoi","激励视频","984,220","456,534","46.39%","7,947,778","4,056,586","51.04%","-","-","-","-","-","-","-","71.73%","8,771,147","32.11%","-","-","-","-","343,088","-","-","-","-","0.15","0.31"
"2026-08-28 (五)","安卓_HiTV - didymoi","插屏","984,220","419,624","42.64%","7,164,188","3,347,876","46.73%","-","-","-","-","-","4,543,032","-","-","1,420,400","7.34%","-","-","-","-","-","-","-","-","-","0.06999999999999999","0.17"
"2026-08-28 (五)","安卓_HiTV - didymoi","开屏","984,220","291,158","29.58%","2,322,474","1,668,331","71.83%","-","3,790,237","-","-","-","-","-","-","1,377,572","34.71%","-","-","-","-","-","-","-","-","-","0.02","0.07"
"2026-08-28 (五)","安卓_HiTV - didymoi","横幅","984,220","257,809","26.19%","16,657,763","1,921,708","11.54%","143,257,764","-","-","-","35,965,253","-","-","-","-","-","964,703","0.98","3.74","-","-","-","$0.10","-","$94.20","-","0.02"
"2026-08-28 (五)","安卓_HiTV - didymoi","原生","984,220","3,502","0.36%","311,983","17,835","5.72%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","44","-","-","-","-","-","0.01"
"2026-08-28 (五)","安卓_HiTV - didymoi","插播广告","984,220","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - bergel","开屏","22,831","755","3.31%","1,858","1,501","80.79%","-","5,578","-","-","-","-","-","-","1,656","61.96%","-","-","-","-","-","-","-","-","-","0.01","0.40"
"2026-08-28 (五)","安卓_Loklok - bergel","插屏","22,831","50","0.22%","3,135","985","31.42%","-","-","-","-","-","1,852","-","-","797","13.17%","-","-","-","-","-","-","-","-","-","-","0.46"
"2026-08-28 (五)","安卓_Loklok - bergel","横幅","22,831","86","0.38%","702","121","17.24%","620","-","-","-","188","-","-","-","-","-","108","0.00","1.26","-","-","-","$0.23","-","$0.02","-","0.01"
"2026-08-28 (五)","安卓_Loklok - bergel","原生","22,831","14","0.06%","2,064","622","30.14%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.02"
"2026-08-28 (五)","安卓_Loklok - bergel","激励视频","22,831","1","0.00%","1,227","3","0.24%","-","-","-","-","-","-","-","-","525","0.19%","-","-","-","-","2","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - bergel","插播广告","22,831","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-aesar","开屏","6,117","136","2.22%","434","352","81.11%","-","-","-","-","-","-","-","-","313","60.70%","-","-","-","-","70","-","-","-","-","0.01","0.49"
"2026-08-28 (五)","安卓_Loklok-aesar","插屏","6,117","14","0.23%","352","253","71.88%","2,931","-","-","-","3,138","-","-","-","47","31.91%","15","0.00","1.07","-","-","-","$3.75","-","$0.06","-","0.28"
"2026-08-28 (五)","安卓_Loklok-aesar","原生","6,117","4","0.07%","317","163","51.42%","-","337","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.08"
"2026-08-28 (五)","安卓_Loklok-aesar","横幅","6,117","17","0.28%","50","37","74.00%","-","-","-","-","-","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.01"
"2026-08-28 (五)","安卓_Loklok-aesar","激励视频","6,117","-","-","3","1","33.33%","-","9","-","-","-","-","-","-","97","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-aesar","插播广告","6,117","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - kotar","开屏","4,007","139","3.47%","355","292","82.25%","2,497","-","-","-","1,685","-","-","-","411","47.45%","150","0.04","1.08","-","-","-","$3.27","-","$0.49","0.01","0.33"
"2026-08-28 (五)","安卓_Loklok - kotar","插屏","4,007","17","0.42%","302","200","66.23%","-","-","-","-","-","-","-","-","56","32.14%","-","-","-","-","9","-","-","-","-","-","0.24"
"2026-08-28 (五)","安卓_Loklok - kotar","横幅","4,007","20","0.50%","125","74","59.20%","-","158","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.02"
"2026-08-28 (五)","安卓_Loklok - kotar","原生","4,007","8","0.20%","421","178","42.28%","-","-","-","-","-","288","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.01"
"2026-08-28 (五)","安卓_Loklok - kotar","激励视频","4,007","-","-","-","-","-","-","-","-","-","-","-","-","-","247","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - kotar","插播广告","4,007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_MovieBox - moras","开屏","13,505","1,218","9.02%","3,466","2,671","77.06%","14,867","-","-","-","12,913","-","-","-","2,114","78.95%","1,403","0.10","1.15","-","-","-","$1.90","-","$2.66","0.02","0.20"
"2026-08-28 (五)","安卓_MovieBox - moras","插屏","13,505","144","1.07%","4,241","1,697","40.01%","-","-","-","-","-","-","-","-","1,168","16.61%","-","-","-","-","102","-","-","-","-","-","0.21"
"2026-08-28 (五)","安卓_MovieBox - moras","横幅","13,505","651","4.82%","1,854","1,271","68.55%","-","3,321","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.04"
"2026-08-28 (五)","安卓_MovieBox - moras","原生","13,505","9","0.07%","2,340","1,076","45.98%","-","-","-","-","-","1,653","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.02"
"2026-08-28 (五)","安卓_MovieBox - moras","激励视频","13,505","1","0.01%","127","10","7.87%","-","-","-","-","-","16","-","-","273","1.10%","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_MovieBox - moras","插播广告","13,505","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_HiTV - venom","插屏","239,500","84,621","35.33%","1,135,023","657,771","57.95%","-","-","-","-","-","-","-","-","184,975","13.23%","-","-","-","-","96,902","-","-","-","-","0.26","0.73"
"2026-08-28 (五)","安卓_HiTV - venom","激励视频","239,500","74,011","30.90%","2,688,176","690,000","25.67%","-","-","-","-","-","968,994","-","94.22%","1,119,295","42.90%","-","-","-","-","-","-","-","-","-","0.26","0.84"
"2026-08-28 (五)","安卓_HiTV - venom","开屏","239,500","77,007","32.15%","369,396","260,806","70.60%","1,817,662","-","-","-","875,994","-","-","-","205,355","58.00%","115,664","0.48","1.50","-","-","-","$1.65","-","$191.33","0.08","0.25"
"2026-08-28 (五)","安卓_HiTV - venom","横幅","239,500","93,655","39.10%","3,319,898","1,532,318","46.16%","-","2,419,692","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.05","0.12"
"2026-08-28 (五)","安卓_HiTV - venom","原生","239,500","569","0.24%","42,700","2,645","6.19%","-","-","-","-","-","2,835","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.02"
"2026-08-28 (五)","安卓_HiTV - venom","插播广告","239,500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_artem_android_test","插屏","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_artem_android_test","开屏","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_artem_android_test","原生","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_HiTV - savita","激励视频","241,847","73,111","30.23%","2,856,216","618,223","21.64%","-","-","-","-","-","847,935","-","89.22%","1,137,737","35.47%","-","-","-","-","-","-","-","-","-","0.2","0.66"
"2026-08-28 (五)","安卓_HiTV - savita","插屏","241,847","80,118","33.13%","1,124,983","627,838","55.81%","-","-","-","-","-","-","-","-","323,162","14.07%","-","-","-","-","107,768","-","-","-","-","0.16999999999999998","0.53"
"2026-08-28 (五)","安卓_HiTV - savita","开屏","241,847","65,520","27.09%","388,443","190,583","49.06%","1,980,366","-","-","-","948,487","-","-","-","242,640","42.88%","100,233","0.41","1.53","-","-","-","$1.29","-","$128.93","0.06","0.20"
"2026-08-28 (五)","安卓_HiTV - savita","横幅","241,847","65,618","27.13%","4,061,428","1,140,753","28.09%","-","2,061,708","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.04","0.14"
"2026-08-28 (五)","安卓_HiTV - savita","原生","241,847","4,677","1.93%","398,543","41,091","10.31%","-","-","-","-","-","41,665","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.03"
"2026-08-28 (五)","安卓_HiTV - savita","插播广告","241,847","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - phiga","开屏","26,634","994","3.73%","2,973","2,085","70.13%","-","10,029","-","-","-","-","-","-","2,290","60.57%","-","-","-","-","-","-","-","-","-","0.02","0.65"
"2026-08-28 (五)","安卓_Loklok - phiga","插屏","26,634","69","0.26%","2,110","1,398","66.26%","-","-","-","-","-","2,603","-","-","708","14.41%","-","-","-","-","-","-","-","-","-","-","0.59"
"2026-08-28 (五)","安卓_Loklok - phiga","横幅","26,634","104","0.39%","1,981","150","7.57%","4,028","-","-","-","4,849","-","-","-","-","-","128","0.00","1.23","-","-","-","$0.24","-","$0.03","-","0.02"
"2026-08-28 (五)","安卓_Loklok - phiga","原生","26,634","30","0.11%","3,063","842","27.49%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.06"
"2026-08-28 (五)","安卓_Loklok - phiga","激励视频","26,634","3","0.01%","1,971","6","0.30%","-","-","-","-","36,966","-","-","0.57%","728","1.10%","-","-","-","-","1","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - phiga","插播广告","26,634","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - artem","开屏","68,092","2,651","3.89%","8,695","6,245","71.82%","-","27,536","-","-","-","-","-","-","6,568","53.35%","-","-","-","-","-","-","-","-","-","0.02","0.45"
"2026-08-28 (五)","安卓_Loklok - artem","插屏","68,092","263","0.39%","6,908","3,866","55.96%","-","-","-","-","-","7,418","-","-","2,134","16.40%","-","-","-","-","-","-","-","-","-","-","0.32"
"2026-08-28 (五)","安卓_Loklok - artem","横幅","68,092","570","0.84%","1,347","676","50.19%","5,682","-","-","-","7,845","-","-","-","-","-","1,002","0.01","1.76","-","-","-","$0.56","-","$0.56","-","0.02"
"2026-08-28 (五)","安卓_Loklok - artem","原生","68,092","36","0.05%","13,117","885","6.75%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.01"
"2026-08-28 (五)","安卓_Loklok - artem","激励视频","68,092","6","0.01%","1,784","19","1.07%","-","-","-","-","-","-","-","0.61%","1,758","0.34%","-","-","-","-","6","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - artem","插播广告","68,092","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - artem","互动广告","68,092","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok - folas","激励视频","128,956","11,368","8.82%","86,910","82,053","94.41%","-","-","-","-","-","126,406","-","97.03%","81,743","73.15%","-","-","-","-","-","-","-","-","-","0.06","0.64"
"2026-08-28 (五)","安卓_Loklok - folas","开屏","128,956","12,122","9.40%","49,074","42,514","86.63%","290,027","-","-","-","125,397","-","-","-","38,570","44.29%","15,911","0.12","1.31","-","-","-","$1.86","-","$29.54","0.02","0.26"
"2026-08-28 (五)","安卓_Loklok - folas","插屏","128,956","6,736","5.22%","39,744","35,726","89.89%","-","-","-","-","-","-","-","-","60,957","21.09%","-","-","-","-","5,716","-","-","-","-","0.02","0.31"
"2026-08-28 (五)","安卓_Loklok - folas","横幅","128,956","15,747","12.21%","134,772","114,322","84.83%","-","253,208","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.01","0.08"
"2026-08-28 (五)","安卓_Loklok - folas","原生","128,956","8,621","6.69%","71,914","39,797","55.34%","-","-","-","-","-","50,852","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.01"
"2026-08-28 (五)","iOS_Loklok - MoviesDramas","原生","66","47","71.21%","404","331","81.93%","-","-","-","-","-","459","-","-","-","-","-","-","-","-","-","-","-","-","-","0.03","0.04"
"2026-08-28 (五)","iOS_Loklok - MoviesDramas","横幅","66","41","62.12%","221","203","91.86%","-","125","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.02","0.03"
"2026-08-28 (五)","iOS_Loklok - MoviesDramas","插屏","66","-","-","349","312","89.40%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek5","插屏","12","-","-","18","6","33.33%","66","-","-","-","255","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek5","原生","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek5","激励视频","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek4","插屏","68","-","-","101","50","49.51%","-","90","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek4","原生","68","-","-","2","1","50.00%","4","-","-","-","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek4","激励视频","68","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek3","插屏","48","-","-","110","66","60.00%","420","-","-","-","1,679","-","-","-","10","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek3","原生","48","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek3","激励视频","48","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek2","插屏","5","-","-","4","4","100.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek2","原生","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek2","激励视频","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_Loklok-temek-ios","插屏","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_Loklok-temek-ios","原生","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_Loklok-temek-ios","激励视频","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek","插屏","3","-","-","4","3","75.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek","原生","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-temek","激励视频","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-litethird","激励视频","19,451","3,986","20.49%","40,504","30,160","74.46%","-","-","-","-","-","40,605","-","-","36,956","61.85%","-","-","-","-","-","-","-","-","-","0.08","0.39"
"2026-08-28 (五)","安卓_Loklok-litethird","横幅","19,451","5,613","28.86%","60,505","37,789","62.46%","-","65,959","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.03","0.11"
"2026-08-28 (五)","安卓_Loklok-litethird","插屏","19,451","2,188","11.25%","25,370","19,808","78.08%","-","-","-","-","-","-","-","-","10,107","55.12%","-","-","-","-","2,075","-","-","-","-","0.03","0.27"
"2026-08-28 (五)","安卓_Loklok-litethird","开屏","19,451","2,324","11.95%","21,851","13,253","60.65%","32,606","-","-","-","16,490","-","-","-","6,785","44.94%","2,991","0.15","1.29","-","-","-","$0.29","-","$0.85","-","0.03"
"2026-08-28 (五)","安卓_Loklok-litethird","原生","19,451","174","0.89%","8,996","1,220","13.56%","-","-","-","-","-","1,279","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.02"
"2026-08-28 (五)","安卓_Loklok-litethird","插播广告","19,451","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-lite-agian","插屏","38","-","-","28","17","60.71%","-","-","-","-","-","26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-lite-agian","激励视频","38","-","-","27","24","88.89%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-lite-agian","原生","38","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_Loklok-Remember The Movie","插屏","10","4","40.00%","17","11","64.71%","-","7","-","-","-","-","-","-","11","63.64%","-","-","-","-","-","-","-","-","-","0.12","0.30"
"2026-08-28 (五)","iOS_Loklok-Remember The Movie","原生","10","7","70.00%","36","33","91.67%","72","-","-","-","237","-","-","-","-","-","28","2.80","4.00","-","-","-","$0.13","-","$0.00","0.02","0.03"
"2026-08-28 (五)","iOS_Loklok-Remember The Movie","激励视频","10","-","-","-","-","-","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-Watch TVs","插屏","1","-","-","1","1","100.00%","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-Watch TVs","横幅","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-Watch TVs","原生","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-Watch TVs","激励视频","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-LA","插屏","1","-","-","4","1","25.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-LA","原生","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-LA","激励视频","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok_SA","插屏","1","-","-","1","1","100.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok_SA","横幅","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok_lite","插屏","7","-","-","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok_lite","横幅","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok_lite","原生","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok_lite","激励视频","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_android_官网包","激励视频","225,584","54,807","24.30%","536,280","450,958","84.09%","-","-","-","-","-","609,591","-","98.23%","488,042","70.53%","-","-","-","-","-","-","-","-","-","0.06999999999999999","0.31"
"2026-08-28 (五)","安卓_android_官网包","插屏","225,584","38,147","16.91%","342,104","277,682","81.17%","-","-","-","-","-","-","-","-","138,143","50.71%","-","-","-","-","38,007","-","-","-","-","0.04","0.22"
"2026-08-28 (五)","安卓_android_官网包","开屏","225,584","50,744","22.49%","255,262","165,337","64.77%","1,268,340","-","-","-","1,277,458","-","-","-","140,763","56.54%","74,622","0.33","1.47","-","-","-","$0.80","-","$59.68","0.03","0.12"
"2026-08-28 (五)","安卓_android_官网包","横幅","225,584","65,626","29.09%","1,897,739","637,713","33.60%","-","817,005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.03","0.09"
"2026-08-28 (五)","安卓_android_官网包","原生","225,584","5,919","2.62%","529,043","18,979","3.59%","-","-","-","-","-","18,890","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_Loklok-Huge amounts of videos","插屏","15","-","-","12","4","33.33%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","iOS_Loklok-Huge amounts of videos","横幅","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-MovieTV","插屏","6","-","-","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-28 (五)","安卓_Loklok-MovieTV","横幅","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-27 (四)","安卓_LOKBOX: iris","插屏","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-27 (四)","安卓_LOKBOX: iris","横幅","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-27 (四)","安卓_LOKBOX: iris","激励视频","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-27 (四)","安卓_LOKBOX: iris","开屏","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-27 (四)","安卓_LokShort - short","开屏","10","-","-","5","3","60.00%","-","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.04","-"
"2026-08-27 (四)","安卓_LokShort - short","插屏","10","1","10.00%","6","6","100.00%","-","-","-","-","-","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.04"
"2026-08-27 (四)","安卓_LokShort - short","激励视频","10","-","-","4","4","100.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-27 (四)","安卓_LokShort - short","横幅","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-27 (四)","安卓_HITV - cube","激励视频","23,214","6,098","26.27%","63,243","53,784","85.04%","531,481","-","-","-","439,821","-","-","92.51%","2,227,539","8.64%","22,946","0.99","3.76","-","-","-","$1.12","-","$25.69","0.1","0.38"
"2026-08-27 (四)","安卓_HITV - cube","插屏","23,214","6,209","26.75%","57,055","50,642","88.76%","-","157,030","-","-","-","-","-","-","7,167","12.70%","-","-","-","-","-","-","-","-","-","0.05","0.20"
"2026-08-27 (四)","安卓_HITV - cube","横幅","23,214","7,689","33.12%","181,131","71,210","39.31%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,110","-","-","-","-","0.03","0.09"
"2026-08-27 (四)","安卓_HITV - cube","开屏","23,214","83","0.36%","25,482","13,193","51.77%","-","-","-","-","-","13,983","-","-","1,859","5.38%","-","-","-","-","-","-","-","-","-","-","0.55"
"2026-08-27 (四)","安卓_LOKTV - luma","激励视频","580,720","247,485","42.62%","3,980,330","1,972,250","49.55%","41,189,812","-","-","-","17,302,183","-","-","97.19%","2,363,979","59.26%","1,091,887","1.88","4.41","-","-","-","$2.11","-","$2,304.24","0.4","0.93"
"2026-08-27 (四)","安卓_LOKTV - luma","插屏","580,720","208,318","35.87%","2,519,731","1,660,314","65.89%","-","11,201,958","-","-","-","2,313,360","-","-","281,463","21.60%","-","-","-","-","-","-","-","-","-","0.21","0.59"
"2026-08-27 (四)","安卓_LOKTV - luma","开屏","580,720","115,502","19.89%","553,455","416,973","75.34%","-","-","-","-","-","485,636","-","-","337,102","51.15%","-","-","-","-","-","-","-","-","-","0.06","0.31"
