"日期","应用名称","广告类型","DAU","DEU","渗透率","应用请求","应用填充","应用填充率","竞价请求","竞价响应","竞价响应率","竞价胜出率","请求","填充","填充率","广告Ready率","查询 isReady","查询Ready率","展示","展示 / DAU","展示 / DEU","展示率","点击","点击率","eCPM","eCPC","预估收入","ARPDAU(￠)","ARPDEU(￠)"
"2026-08-31 (一)","iOS_Moviebox - chroma","原生","7,328","2,425","33.09%","314,136","38,028","12.11%","1,140,579","49,837","4.37%","99.18%","49,426","45,510","92.08%","-","-","-","4,151","0.57","1.71","9.12%","6","0.14%","$0.08","5.46￠","$0.33","-","0.01"
"2026-08-31 (一)","安卓_Loklok - kosmo","激励视频","41,840","18,268","43.66%","135,071","117,899","87.29%","1,098,803","697,477","63.48%","173.92%","1,213,017","195,576","16.12%","97.80%","4,708,072","6.71%","81,447","1.95","4.46","41.64%","19,811","24.32%","$3.01","1.24￠","$245.13","0.19","0.44"
"2026-08-31 (一)","安卓_Loklok - kosmo","插屏","41,840","17,070","40.80%","91,333","83,997","91.97%","812,373","603,624","74.30%","159.02%","959,861","158,305","16.49%","-","12,870","1.79%","77,509","1.85","4.54","48.96%","23,788","30.69%","$2.09","0.68￠","$162.11","0.13","0.32"
"2026-08-31 (一)","安卓_Loklok - kosmo","开屏","41,840","13,559","32.41%","75,003","62,388","83.18%","421,318","168,188","39.92%","134.08%","225,513","116,227","51.54%","-","34,645","59.61%","25,257","0.60","1.86","21.73%","10,407","41.20%","$2.18","0.53￠","$55.10","0.05","0.16"
"2026-08-31 (一)","安卓_Loklok - kosmo","横幅","41,840","24,816","59.31%","328,656","253,318","77.08%","2,127,068","679,917","31.97%","56.34%","383,050","362,089","94.53%","-","-","-","214,424","5.12","8.64","59.22%","4,584","2.14%","$0.22","1.01￠","$46.37","0.05","0.08"
"2026-08-31 (一)","安卓_Loklok - kosmo","原生","41,840","424","1.01%","5,869","1,701","28.98%","31,898","2,511","7.87%","98.85%","2,482","2,218","89.36%","-","-","-","761","0.02","1.79","34.31%","11","1.45%","$0.07","0.49￠","$0.05","-","0.01"
"2026-08-31 (一)","安卓_Loklok - jupie","激励视频","89,769","13,893","15.48%","122,869","92,724","75.47%","1,435,880","844,263","58.80%","124.17%","1,048,317","162,038","15.46%","95.06%","136,432","36.90%","52,635","0.59","3.79","32.48%","8,443","16.04%","$1.86","1.16￠","$97.65","0.05","0.34"
"2026-08-31 (一)","安卓_Loklok - jupie","插屏","89,769","15,494","17.26%","122,371","97,590","79.75%","1,309,637","785,050","59.94%","144.46%","1,134,088","168,314","14.84%","-","30,985","7.91%","67,689","0.75","4.37","40.22%","16,894","24.96%","$1.49","0.60￠","$101.03","0.04","0.22"
"2026-08-31 (一)","安卓_Loklok - jupie","开屏","89,769","14,989","16.70%","64,031","54,211","84.66%","384,127","156,910","40.85%","120.43%","188,974","77,161","40.83%","-","48,485","43.50%","24,796","0.28","1.65","32.14%","8,944","36.07%","$1.59","0.44￠","$39.38","0.01","0.07"
"2026-08-31 (一)","安卓_Loklok - jupie","横幅","89,769","21,698","24.17%","285,250","206,146","72.27%","2,561,373","647,720","25.29%","432.48%","2,801,257","420,894","15.03%","-","-","-","196,298","2.19","9.05","46.64%","448","0.23%","$0.43","19.04￠","$85.29","0.01","0.02"
"2026-08-31 (一)","安卓_Loklok - jupie","原生","89,769","9,401","10.47%","140,570","38,985","27.73%","798,667","58,726","7.35%","95.52%","56,094","53,193","94.83%","-","-","-","17,697","0.20","1.88","33.27%","106","0.60%","$0.07","1.25￠","$1.32","-","0.01"
"2026-08-31 (一)","安卓_Xcene: Serie y espectáculo","横幅","4","2","50.00%","7","7","100.00%","96","12","12.50%","466.67%","56","9","16.07%","-","-","-","4","1.00","2.00","44.44%","-","-","$0.23","-","$0.00","0.02","0.04"
"2026-08-31 (一)","安卓_Xcene: Serie y espectáculo","激励视频","4","1","25.00%","2","2","100.00%","19","8","42.11%","187.50%","15","3","20.00%","100.00%","3","66.67%","1","0.25","1.00","33.33%","1","100.00%","$0.81","0.08￠","$0.00","-","-"
"2026-08-31 (一)","安卓_Xcene: Serie y espectáculo","开屏","4","-","-","3","3","100.00%","18","7","38.89%","42.86%","3","3","100.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_Xcene: Serie y espectáculo","插屏","4","-","-","1","1","100.00%","12","5","41.67%","140.00%","7","1","14.29%","-","1","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","iOS_Moviebοx - vora","激励视频","1,322","588","44.48%","10,363","5,718","55.18%","51,619","17,414","33.74%","56.23%","9,792","9,350","95.49%","-","3,283","67.99%","2,298","1.74","3.91","24.58%","617","26.85%","$1.56","0.58￠","$3.59","0.16999999999999998","0.38"
"2026-08-31 (一)","iOS_Moviebοx - vora","插屏","1,322","685","51.82%","11,897","5,571","46.83%","43,680","19,578","44.82%","31.53%","6,173","5,861","94.95%","-","55,871","18.57%","2,160","1.63","3.15","36.85%","504","23.33%","$1.21","0.52￠","$2.61","0.11","0.22"
"2026-08-31 (一)","iOS_Moviebοx - vora","开屏","1,322","439","33.21%","1,181","770","65.20%","8,103","3,360","41.47%","136.25%","4,578","1,164","25.43%","-","671","100.00%","663","0.50","1.51","56.96%","449","67.72%","$1.25","0.18￠","$0.83","0.02","0.05"
"2026-08-31 (一)","iOS_Moviebοx - vora","横幅","1,322","713","53.93%","8,290","3,398","40.99%","32,434","5,101","15.73%","97.77%","4,987","4,709","94.43%","-","-","-","2,654","2.01","3.72","56.36%","14","0.53%","$0.05","0.91￠","$0.13","-","-"
"2026-08-31 (一)","iOS_Moviebοx - vora","原生","1,322","444","33.59%","75,820","6,055","7.99%","243,536","8,239","3.38%","99.04%","8,160","7,449","91.29%","-","-","-","823","0.62","1.85","11.05%","-","-","$0.06","-","$0.05","-","0.01"
"2026-08-31 (一)","安卓_com.draco.caelum","横幅","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_com.draco.caelum","插屏","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_com.draco.caelum","激励视频","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_com.draco.caelum","开屏","1","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_Xuper - borea","插屏","74","30","40.54%","290","234","80.69%","1,246","453","36.36%","55.41%","251","236","94.02%","-","27","-","201","2.72","6.70","85.17%","52","25.87%","$0.31","0.12￠","$0.06","0.02","0.06"
"2026-08-31 (一)","安卓_Xuper - borea","激励视频","74","32","43.24%","177","136","76.84%","970","256","26.39%","121.88%","312","249","79.81%","94.29%","136","50.00%","65","0.88","2.03","26.10%","21","32.31%","$0.77","0.24￠","$0.05","0.02","0.04"
"2026-08-31 (一)","安卓_Xuper - borea","开屏","74","25","33.78%","114","79","69.30%","464","205","44.18%","120.49%","247","97","39.27%","-","60","56.67%","32","0.43","1.28","32.99%","9","28.13%","$0.92","0.33￠","$0.03","0.01","0.02"
"2026-08-31 (一)","安卓_Xuper - borea","横幅","74","23","31.08%","534","109","20.41%","2,560","140","5.47%","80.00%","112","109","97.32%","-","-","-","90","1.22","3.91","82.57%","2","2.22%","$0.04","0.16￠","$0.00","-","-"
"2026-08-31 (一)","安卓_Xuper - borea","原生","74","7","9.46%","288","32","11.11%","1,243","35","2.82%","97.14%","34","31","91.18%","-","-","-","8","0.11","1.14","25.81%","-","-","$0.03","-","$0.00","-","-"
"2026-08-31 (一)","安卓_Moviebox - celest","激励视频","235","87","37.02%","599","546","91.15%","4,094","1,547","37.79%","62.70%","970","758","78.14%","97.44%","474","67.09%","310","1.32","3.56","40.90%","55","17.74%","$1.05","0.59￠","$0.33","0.1","0.26"
